,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
23,23,14.774759837670643,2026-01-30 17:28:07.509340,2026-01-30 17:28:10.969082,0 days 00:00:03.459742,76.83005186609796,80.04349912422252,45.64556916520847,-57.99213242218769,43.95710849612164,30.53580545829576,94.70465571881486,35.99161916663731,26.573040712904177,120.0,57.73349372291298,80.99712306617465,36.62059241549757,-29.903111177081314,59.61987060722778,58.013301943863,84.8555970492353,34.0639517405309,16.5419026395035,10.0,Unattained target,RandomSampler,PRUNED
24,24,16.39754683595983,2026-01-30 17:28:11.087575,2026-01-30 17:28:14.623933,0 days 00:00:03.536358,36.81989966078151,22.31979852047803,87.54840867230114,-34.209469660147626,68.8199802881611,18.315646902698425,45.15329103696208,45.41272445056484,29.909777865011126,105.0,56.348457018771896,49.292245269468154,88.07309607940907,-79.99476547101736,75.2581690376619,42.48130910195786,35.967809075736824,38.51493581504631,20.357535418334237,5.0,Unattained target,RandomSampler,PRUNED
25,25,6.0,2026-01-30 17:28:14.733637,2026-01-30 17:28:14.790102,0 days 00:00:00.056465,68.63801343655292,65.63457708507028,39.510425788606405,-68.37964704841575,15.831063957985698,16.831606397005046,93.15896157129382,30.23046801898641,12.871459411952152,80.0,70.60993189856039,21.825727549455713,62.9199547990487,-54.97726394405068,30.372290920313716,53.477273503454256,33.24953780925833,48.819623274295665,12.642624126835187,10.0,Unfeasible shape,RandomSampler,PRUNED
26,26,6.6371869232955305,2026-01-30 17:28:14.898875,2026-01-30 17:28:18.393216,0 days 00:00:03.494341,28.093099782606174,21.54380924754205,31.870321845834024,-60.41561565087511,87.34146591797598,44.450172860607324,33.69111483893421,33.76435815350371,17.892039816405383,100.0,99.09538510621469,90.43156104386367,19.57374429347097,-56.95405430523692,33.41512597956387,60.09298519540241,34.87163376267287,33.917105667375175,29.889687203222067,5.0,Unattained target,RandomSampler,PRUNED
27,27,5.097364632101911,2026-01-30 17:28:18.513920,2026-01-30 17:28:22.008136,0 days 00:00:03.494216,92.32351485151268,92.00628935359963,10.729851704639325,-54.58949228453262,45.12714818039196,12.806513081841551,75.49960990068884,33.72717412663099,28.972121214897463,95.0,31.98331403244352,41.69691578767116,66.69458258475731,-35.42165054133107,68.0071245926583,48.396499384871674,94.61131247766531,30.585936461307888,26.600300229730067,5.0,Unattained target,RandomSampler,PRUNED
28,28,22.074797899705985,2026-01-30 17:28:22.134441,2026-01-30 17:28:25.607737,0 days 00:00:03.473296,33.69396694344492,26.924676521372394,45.36795058246962,-67.29151523587842,36.26282191670403,72.59529829984186,52.15560196796949,39.29477103945702,15.60477921016156,110.0,22.5587739854082,62.25939907403747,21.077043444669158,-74.93952646410877,57.09947859855958,83.19833939302113,33.31356175639921,42.91981664698507,22.66035585110278,10.0,Unattained target,RandomSampler,PRUNED
29,29,6.307209808624801,2026-01-30 17:28:25.723917,2026-01-30 17:28:29.370460,0 days 00:00:03.646543,17.61778021913738,32.14507253182479,76.85427985978657,-67.93984133882137,76.61893045903106,92.11827675556886,70.30988472040795,32.46570995966593,12.580197601025185,105.0,39.363829522620065,77.16092914897675,32.853712897209405,-22.146631085551725,32.8443396422878,21.965154935886346,79.8143826869377,49.92558477486995,12.48751276878587,10.0,Unattained target,RandomSampler,PRUNED
30,30,6.480787114564112,2026-01-30 17:28:29.479180,2026-01-30 17:28:32.887770,0 days 00:00:03.408590,94.0343819469285,55.290768942719346,49.27327363338898,-30.946571665193076,38.72205805624456,11.207287358943873,32.17081724565563,33.628586742598905,23.838518098274665,80.0,23.304194507061872,20.700576016383273,54.493419177153875,-34.73450699360918,78.01444662601908,29.812083410976463,53.40499164926958,45.28791341726875,15.989182638066382,5.0,Unattained target,RandomSampler,PRUNED
31,31,8.930334896264718,2026-01-30 17:28:32.997509,2026-01-30 17:28:36.549310,0 days 00:00:03.551801,92.39113220909799,75.7561904789397,52.73760885369265,-71.68022564229115,89.22616037577978,76.74961871157268,92.8255988109273,41.701798703521675,21.000183316579346,100.0,55.73521500560186,88.64462305860127,89.80136885920432,-56.1164294570399,99.55786431501664,14.23711386455896,79.61038687438338,31.499693426479823,15.471966258501935,5.0,Unattained target,RandomSampler,PRUNED
32,32,6.0,2026-01-30 17:28:36.667527,2026-01-30 17:28:36.757380,0 days 00:00:00.089853,92.82005423155574,42.57991603291118,49.53298274458544,-27.567848414629765,86.87781920148329,88.44510555758849,46.209423079104596,46.1429596502644,29.914920209574557,100.0,42.21825441816747,84.1864854321347,71.66942012644893,-65.54987866750375,73.78530916880337,54.745903223802316,63.71446809576969,33.047466398627904,29.39591072764454,10.0,Unfeasible shape,RandomSampler,PRUNED
