,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
20,20,,2026-05-13 16:29:22.910842,2026-05-13 16:29:23.152927,0 days 00:00:00.242085,99.93987764758363,95.43352319610713,99.17638748745698,-55.39549100714151,86.09483169171415,42.4217526608945,60.42121424661001,51.05557650651879,22.253829282017097,118.86214086422198,48.74383335492099,138.17737880017944,-45.54722936750871,105.84380718822901,116.78309297593391,113.3502518249479,30.868742885140716,37.498047290763445,Unfeasible shape,0.0,PRUNED
21,21,,2026-05-13 16:29:23.287843,2026-05-13 16:29:23.545918,0 days 00:00:00.258075,67.1383100814712,115.3411470674031,54.11473422623042,-47.98557412608636,78.6728137046116,113.24638406831725,49.04519063299312,57.3098688480114,56.45159422693468,92.77927442683277,69.34444807026381,104.47830866581091,-41.62549954745133,85.902415851952,101.38772246193763,81.68059909305877,31.063797305425428,31.589451851963744,Unfeasible shape,0.0,PRUNED
22,22,,2026-05-13 16:29:23.741739,2026-05-13 16:29:24.023812,0 days 00:00:00.282073,116.96511147606199,94.54268651996625,52.57190556213874,-40.21633260743513,133.9951711999625,89.8724410697535,78.52844108430179,25.096192603241782,25.615229761496547,127.56923175503937,92.52098123715827,74.26496883556725,-37.40458908459268,72.58406767666271,86.66817751650993,99.4780473557311,32.66434704553413,38.50260999844941,Unfeasible shape,0.0,PRUNED
23,23,,2026-05-13 16:29:24.141242,2026-05-13 16:29:24.376472,0 days 00:00:00.235230,139.7708033120077,98.28112503545375,70.53852913790365,-49.09486631992439,35.124008034362255,116.67968333650963,67.9567034260482,29.6018168590001,55.19721025994995,106.62572397177391,100.31974971694399,126.19389868443946,-43.2336601902874,81.75910867330026,77.03349780114665,149.21449894089704,20.102199375045622,46.70812340970184,Unfeasible shape,0.0,PRUNED
24,24,,2026-05-13 16:29:24.484458,2026-05-13 16:29:24.746094,0 days 00:00:00.261636,120.97973487880577,89.54907051579656,7.89174983095143,-45.4983817668905,74.51889624585647,76.48949304174072,79.62472502136934,24.237702458048624,17.588948259268843,93.24179243618285,111.20522624423035,81.72156873686478,-49.259565697831576,66.13639186827237,88.99765852494413,70.90368645889144,20.7562640643647,36.22554983927948,Unfeasible shape,0.0,PRUNED
25,25,,2026-05-13 16:29:24.894296,2026-05-13 16:29:25.134989,0 days 00:00:00.240693,126.5201837896037,68.71984851513679,103.62237757828308,-52.04521716327084,133.98604789292986,149.54139793861543,149.50723821727928,38.864524276821314,43.94981566374487,117.93759837188445,103.69816528658025,126.00414134880432,-50.234707893421756,54.74952694283706,119.44681437878512,138.32757326753685,28.707152210918565,41.10562779500989,Unfeasible shape,0.0,PRUNED
26,26,,2026-05-13 16:29:25.243859,2026-05-13 16:29:25.477339,0 days 00:00:00.233480,107.51493413513296,122.38396771557845,76.59777955497134,-54.12799020343358,112.36209153289144,129.81162822303895,108.17198306478215,54.35206357936642,50.006242684514646,129.36524083649553,93.62761729339766,124.05211530792258,-41.21888596586639,148.36979884446887,107.31985614599246,90.57083931328874,51.53695835209861,21.2797153384132,Unfeasible shape,0.0,PRUNED
27,27,,2026-05-13 16:29:25.592767,2026-05-13 16:29:25.844080,0 days 00:00:00.251313,114.63318732210146,103.87700443031171,100.43716076821809,-35.951136658540854,58.010325605267816,106.18296837169905,98.55546168097032,23.733116516143966,48.61172427041699,98.19379130043399,105.08949580877375,75.87541019585464,-54.018213519708326,120.42841788459928,63.63119430282243,124.54897397719449,31.008390372040033,39.5009686551361,Unfeasible shape,0.0,PRUNED
28,28,,2026-05-13 16:29:25.973630,2026-05-13 16:29:26.200854,0 days 00:00:00.227224,99.80991670578796,121.2018638475301,72.97910885906013,-51.05476790412288,124.32823748107401,110.79506900724869,119.92575274309489,10.48010441358115,41.11403289602298,44.34675224060979,72.6014699612165,69.380254247407,-48.293800564541286,90.31548564476456,103.48520646271542,87.11747018800568,34.332556745713724,33.236633186349366,Unfeasible shape,0.0,PRUNED
29,29,,2026-05-13 16:29:26.321062,2026-05-13 16:29:26.593375,0 days 00:00:00.272313,88.53484900448865,113.49569372709793,53.84968153871832,-29.31937298896721,119.83772099677081,89.23351309203456,80.93953925262986,29.508210414008026,41.277460594844804,74.38200348813503,99.57094271979996,100.50448332783981,-56.55532733177154,117.43253676174677,121.2090253426975,90.99019406934971,14.389810244418458,14.441304944889392,Unfeasible shape,0.0,PRUNED
30,30,,2026-05-13 16:29:26.702383,2026-05-13 16:29:26.969689,0 days 00:00:00.267306,41.52672100147463,146.82457882424782,110.02722169642371,-62.64100964531936,96.30759257454545,102.47734455682975,91.4694601915283,24.00708122672361,39.327669237692966,60.3638005045747,70.44285120447236,161.57243125299436,-41.67629023776755,72.44978674970808,118.15179071529715,79.66120433362904,29.330127867013285,38.26123192052006,Unfeasible shape,0.0,PRUNED
31,31,,2026-05-13 16:29:27.125264,2026-05-13 16:29:27.346868,0 days 00:00:00.221604,65.96320773257357,138.39554163391185,102.00159521968602,-37.82388043595013,84.02995020879949,122.30176256161887,164.09521010403034,65.45793353678168,24.56159165601284,67.00183543325473,56.84495469080343,101.27769565602286,-32.18233434748751,42.28822396141194,113.39322356710647,31.93652074983055,62.90352647621706,41.06344672755332,Unfeasible shape,0.0,PRUNED
32,32,,2026-05-13 16:29:27.451146,2026-05-13 16:29:27.722241,0 days 00:00:00.271095,119.47572454317428,69.17897821210441,152.44556657113657,-40.25737158924988,150.4961454611605,112.68813421061903,77.37297345440932,27.324503897387864,28.605327555980157,45.40087180290696,131.6890035278245,124.07583603880828,-53.82858801270899,134.75222323110876,141.59560120896407,86.8585352263081,29.230744502135735,26.114656222197098,Unfeasible shape,0.0,PRUNED
33,33,,2026-05-13 16:29:27.827163,2026-05-13 16:29:28.055287,0 days 00:00:00.228124,69.52566214645702,82.59174831711454,32.4487201428417,-39.468789279036514,43.01678293954565,47.42249721308336,69.3323695419096,33.648637945813014,47.13857939649811,67.61369706331631,81.88166583730262,98.75986458939974,-55.21871133862417,55.05357270444225,132.84651634306715,116.49024566745878,58.3992816758157,49.67648560756779,Unfeasible shape,0.0,PRUNED
