Study                  : no-name-71c709e9-ea47-4549-a869-03f95a4de447
- Start                : 2026-05-12 18:54:33.099156
- End                  : 2026-05-12 22:04:11.103077
- Duration             : 3:09:38.003921
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 1000
-- Completed trials    : 612, 61.20 %
-- Pruned trials       : 388, 38.80 %
--- Unfeasible shapes  : 388, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 620, Value : 41.277681, Duration : 0:00:19.108081
                         Trial number : 624, Value : 41.283645, Duration : 0:00:15.186619
                         Trial number : 283, Value : 41.287326, Duration : 0:00:17.905929
                         Trial number : 879, Value : 41.288144, Duration : 0:00:16.695953
                         Trial number : 231, Value : 41.288166, Duration : 0:00:18.881993
                         Trial number : 471, Value : 41.288880, Duration : 0:00:14.097218
                         Trial number : 424, Value : 41.290007, Duration : 0:00:17.463371
                         Trial number : 718, Value : 41.290075, Duration : 0:00:18.579811
                         Trial number : 574, Value : 41.290889, Duration : 0:00:16.798232
                         Trial number : 578, Value : 41.291836, Duration : 0:00:16.969807
                         Trial number : 397, Value : 41.292997, Duration : 0:00:20.669827
                         Trial number : 844, Value : 41.295324, Duration : 0:00:21.909259
                         Trial number : 502, Value : 41.295439, Duration : 0:00:14.942365
                         Trial number : 613, Value : 41.301427, Duration : 0:00:16.898920
                         Trial number : 499, Value : 41.303819, Duration : 0:00:16.393557
                         Trial number : 727, Value : 41.304338, Duration : 0:00:17.002410
                         Trial number : 676, Value : 41.304425, Duration : 0:00:16.942448
                         Trial number : 567, Value : 41.305370, Duration : 0:00:16.361950
                         Trial number : 366, Value : 41.315556, Duration : 0:00:18.902185
                         Trial number : 420, Value : 41.315962, Duration : 0:00:17.856499
                         Trial number : 505, Value : 41.317481, Duration : 0:00:14.965040
                         Trial number : 576, Value : 41.318073, Duration : 0:00:16.828437
                         Trial number : 569, Value : 41.320472, Duration : 0:00:16.503328
                         Trial number : 701, Value : 41.323270, Duration : 0:00:17.269300
                         Trial number : 507, Value : 41.323901, Duration : 0:00:14.569837
                         Trial number : 534, Value : 41.324529, Duration : 0:00:15.306293
                         Trial number : 431, Value : 41.326444, Duration : 0:00:16.996159
                         Trial number : 593, Value : 41.327434, Duration : 0:00:15.028877
                         Trial number : 496, Value : 41.328200, Duration : 0:00:17.027753
                         Trial number : 373, Value : 41.329120, Duration : 0:00:16.368394
                         Trial number : 465, Value : 41.332099, Duration : 0:00:15.179157
                         Trial number : 491, Value : 41.332967, Duration : 0:00:17.810137
                         Trial number : 295, Value : 41.333601, Duration : 0:00:16.770469
                         Trial number : 374, Value : 41.336958, Duration : 0:00:16.542452
                         Trial number : 267, Value : 41.337257, Duration : 0:00:17.115239
                         Trial number : 286, Value : 41.338779, Duration : 0:00:17.187463
                         Trial number : 344, Value : 41.339740, Duration : 0:00:14.693696
                         Trial number : 747, Value : 41.341954, Duration : 0:00:17.109843
                         Trial number : 867, Value : 41.344947, Duration : 0:00:18.231577
                         Trial number : 404, Value : 41.345092, Duration : 0:00:16.350757
                         Trial number : 248, Value : 41.348895, Duration : 0:00:16.455252
                         Trial number : 819, Value : 41.357137, Duration : 0:00:15.560130
                         Trial number : 446, Value : 41.363377, Duration : 0:00:14.182975
                         Trial number : 506, Value : 41.363394, Duration : 0:00:14.258556
                         Trial number : 393, Value : 41.367738, Duration : 0:00:18.188085
                         Trial number : 884, Value : 41.369286, Duration : 0:00:14.736343
                         Trial number : 521, Value : 41.369338, Duration : 0:00:15.192848
                         Trial number : 597, Value : 41.370373, Duration : 0:00:17.251017
                         Trial number : 175, Value : 41.372603, Duration : 0:00:21.473218
                         Trial number : 400, Value : 41.372934, Duration : 0:00:17.619478
                         Trial number : 717, Value : 41.373305, Duration : 0:00:17.296947
                         Trial number : 228, Value : 41.377187, Duration : 0:00:19.903680
                         Trial number : 407, Value : 41.378172, Duration : 0:00:17.194557
                         Trial number : 530, Value : 41.380785, Duration : 0:00:14.568186
                         Trial number : 312, Value : 41.385542, Duration : 0:00:18.819517
                         Trial number : 455, Value : 41.386026, Duration : 0:00:16.782461
                         Trial number : 199, Value : 41.387512, Duration : 0:00:16.655160
                         Trial number : 559, Value : 41.398308, Duration : 0:00:17.978808
                         Trial number : 371, Value : 41.399715, Duration : 0:00:18.582176
                         Trial number : 342, Value : 41.399807, Duration : 0:00:18.552875
                         Trial number : 774, Value : 41.400115, Duration : 0:00:17.182758
                         Trial number : 317, Value : 41.400324, Duration : 0:00:16.644251
                         Trial number : 495, Value : 41.402606, Duration : 0:00:14.351452
                         Trial number : 214, Value : 41.405335, Duration : 0:00:16.457653
                         Trial number : 533, Value : 41.405791, Duration : 0:00:16.706673
                         Trial number : 313, Value : 41.408956, Duration : 0:00:17.238259
                         Trial number : 537, Value : 41.410243, Duration : 0:00:16.747264
                         Trial number : 436, Value : 41.415654, Duration : 0:00:14.647977
                         Trial number : 428, Value : 41.420087, Duration : 0:00:16.445626
                         Trial number : 414, Value : 41.423647, Duration : 0:00:19.360357
                         Trial number : 307, Value : 41.424088, Duration : 0:00:16.696459
                         Trial number : 573, Value : 41.433918, Duration : 0:00:15.162261
                         Trial number : 438, Value : 41.433919, Duration : 0:00:17.380739
                         Trial number : 251, Value : 41.435127, Duration : 0:00:14.697106
                         Trial number : 225, Value : 41.436279, Duration : 0:00:17.178875
                         Trial number : 368, Value : 41.441096, Duration : 0:00:18.611161
                         Trial number : 255, Value : 41.441588, Duration : 0:00:18.769049
                         Trial number : 463, Value : 41.441699, Duration : 0:00:17.124558
                         Trial number : 380, Value : 41.442923, Duration : 0:00:16.885339
                         Trial number : 876, Value : 41.450874, Duration : 0:00:14.428924
                         Trial number : 306, Value : 41.483694, Duration : 0:00:16.465651
                         Trial number : 300, Value : 41.486244, Duration : 0:00:14.596543
                         Trial number : 337, Value : 41.487366, Duration : 0:00:16.718639
                         Trial number : 247, Value : 41.491384, Duration : 0:00:16.298527
                         Trial number : 473, Value : 41.495046, Duration : 0:00:14.007086
                         Trial number : 612, Value : 41.498773, Duration : 0:00:19.412882
                         Trial number : 432, Value : 41.498996, Duration : 0:00:18.643222
                         Trial number : 346, Value : 41.507523, Duration : 0:00:16.666592
                         Trial number : 413, Value : 41.517216, Duration : 0:00:19.637811
                         Trial number : 411, Value : 41.518499, Duration : 0:00:17.978488
                         Trial number : 230, Value : 41.520020, Duration : 0:00:14.355039
                         Trial number : 372, Value : 41.524064, Duration : 0:00:16.836402
                         Trial number : 304, Value : 41.538010, Duration : 0:00:18.891603
                         Trial number : 364, Value : 41.541078, Duration : 0:00:14.416091
                         Trial number : 245, Value : 41.544844, Duration : 0:00:14.354165
                         Trial number : 301, Value : 41.545268, Duration : 0:00:16.575372
                         Trial number : 84, Value : 41.549749, Duration : 0:00:15.344762
                         Trial number : 223, Value : 41.552133, Duration : 0:00:18.331772
                         Trial number : 410, Value : 41.570189, Duration : 0:00:15.938803
                         Trial number : 480, Value : 41.572492, Duration : 0:00:14.335793
                         Trial number : 296, Value : 41.581495, Duration : 0:00:14.709690
                         Trial number : 276, Value : 41.583055, Duration : 0:00:15.711771
                         Trial number : 333, Value : 41.584331, Duration : 0:00:17.139807
                         Trial number : 437, Value : 41.585211, Duration : 0:00:14.328215
                         Trial number : 334, Value : 41.590050, Duration : 0:00:18.991606
                         Trial number : 303, Value : 41.592389, Duration : 0:00:16.229460
                         Trial number : 327, Value : 41.608475, Duration : 0:00:16.244889
                         Trial number : 318, Value : 41.608558, Duration : 0:00:14.983586
                         Trial number : 325, Value : 41.612617, Duration : 0:00:16.218187
                         Trial number : 262, Value : 41.623803, Duration : 0:00:14.740300
                         Trial number : 416, Value : 41.624620, Duration : 0:00:14.706227
                         Trial number : 340, Value : 41.626938, Duration : 0:00:17.695669
                         Trial number : 268, Value : 41.635286, Duration : 0:00:14.756590
                         Trial number : 331, Value : 41.635896, Duration : 0:00:16.555853
                         Trial number : 140, Value : 41.636394, Duration : 0:00:14.549565
                         Trial number : 273, Value : 41.641172, Duration : 0:00:14.971256
                         Trial number : 171, Value : 41.646704, Duration : 0:00:17.085266
                         Trial number : 322, Value : 41.656567, Duration : 0:00:17.002339
                         Trial number : 38, Value : 41.663105, Duration : 0:00:16.089485
                         Trial number : 59, Value : 41.667245, Duration : 0:00:15.221448
                         Trial number : 232, Value : 41.670173, Duration : 0:00:16.755689
                         Trial number : 367, Value : 41.673463, Duration : 0:00:19.964671
                         Trial number : 384, Value : 41.674614, Duration : 0:00:14.456223
                         Trial number : 326, Value : 41.680999, Duration : 0:00:14.128965
                         Trial number : 226, Value : 41.688760, Duration : 0:00:16.300069
                         Trial number : 321, Value : 41.690845, Duration : 0:00:16.473739
                         Trial number : 348, Value : 41.692225, Duration : 0:00:16.208969
