,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
39,39,5.728789324879337,2026-04-13 11:35:35.956374,2026-04-13 11:35:44.753916,0 days 00:00:08.797542,34.16425290493659,24.039524998378624,68.03410932402932,-55.20611491881556,53.52405278144123,33.11090577510278,86.81279362656845,32.1334996885924,17.317421722837686,60.576602275061255,57.014703651795855,53.6418134006353,-29.721089637038524,87.90820048089009,49.65308645757967,39.93146531240106,49.55549564572203,27.934365584370294,Unattained target,GPSampler,PRUNED
40,40,9.441673437982857,2026-04-13 11:35:44.887446,2026-04-13 11:35:53.706012,0 days 00:00:08.818566,19.171567072916623,23.03265310561989,71.7494871514651,-48.742189473885944,94.26349520432326,16.011066192918335,98.56181212960283,44.693176719505146,24.96336793973617,42.029190265410975,87.44925065928994,18.668860780618285,-51.63837825472167,58.9586741554278,33.701941998333965,25.31494179137813,39.35613832707197,19.194382483254174,Unattained target,GPSampler,PRUNED
41,41,7.37290213002133,2026-04-13 11:35:53.871924,2026-04-13 11:36:02.222392,0 days 00:00:08.350468,89.85003468443124,49.454228037514,97.91657630207547,-31.263081068633667,43.30819522338188,63.714553728487864,81.70324990263218,47.673942341593126,26.078176398027637,60.04519898055568,63.76099035231719,49.77149541967414,-64.38163957042464,34.68862041116281,87.09886833712547,74.82474406884994,40.04408070693143,29.849867057067108,Unattained target,GPSampler,PRUNED
42,42,18.295708195386347,2026-04-13 11:36:02.350868,2026-04-13 11:36:09.844027,0 days 00:00:07.493159,43.05956170562207,29.978257439843897,42.94182407433443,-51.8518509983622,62.54843489054597,98.07347836260193,67.279997715424,34.33716131694522,13.26331829844561,91.67388925389598,16.3338622826923,39.26636349470009,-56.175481823544985,67.31707140683449,40.87377552833423,13.362288843215408,37.1043755797232,11.56757798929526,Unattained target,GPSampler,PRUNED
43,43,5.2800430391157605,2026-04-13 11:36:09.973272,2026-04-13 11:36:18.205461,0 days 00:00:08.232189,91.93402045320752,85.7461308115486,66.75936559639851,-55.850213656569196,59.52690524773322,43.532807160562506,65.51593649053336,43.824330136074565,12.764954268817387,96.89908982625305,14.27043753924751,86.24437400260194,-49.18494650023213,92.8071697462703,46.19445685145484,99.32590191629917,38.46905312617185,15.376665725385134,Unattained target,GPSampler,PRUNED
44,44,14.461767393731748,2026-04-13 11:36:18.341038,2026-04-13 11:36:26.620341,0 days 00:00:08.279303,20.66046143974011,75.74885823118082,26.790082159814204,-63.93233255627911,64.02548920397008,68.6531956560089,91.64527724641422,35.77779658113287,20.622997161683156,26.431767918875156,69.46736244513508,45.090490323252894,-52.31197622749719,80.93412707491844,16.22763214677773,64.9442986128376,46.56673011981181,10.47752291567426,Unattained target,GPSampler,PRUNED
45,45,5.3826351418422185,2026-04-13 11:36:26.810704,2026-04-13 11:36:33.943009,0 days 00:00:07.132305,20.468785643841137,86.75913798034605,66.17439536954336,-77.55190988391696,49.8601036899932,46.966134352482825,92.46321530896793,44.38679389151418,17.026439375083775,23.467786901037286,24.575118117543745,92.43544660868608,-54.10351694074042,24.475443123829994,81.09079834587605,89.80550502839827,40.55900099341051,18.456131452957912,Unattained target,GPSampler,PRUNED
46,46,6.180672027490047,2026-04-13 11:36:34.083762,2026-04-13 11:36:43.295022,0 days 00:00:09.211260,42.57385732292795,17.217344129676093,76.88538002538088,-29.877042260677975,50.83816977965364,82.12937915135524,84.19611922850558,40.213489465300206,17.956356672584683,95.92144930236256,73.90463499180595,49.116112008479824,-41.29184821088228,50.362634366378835,62.98537786044191,55.57065015089085,33.5423757195945,23.301760644980092,Unattained target,GPSampler,PRUNED
47,47,16.69001598945553,2026-04-13 11:36:43.433831,2026-04-13 11:36:51.663714,0 days 00:00:08.229883,57.87028104411377,96.86186790899232,95.13581815447094,-48.186151140088455,91.51687749172116,45.042312986450646,34.921105423227345,31.41014740568289,11.251381060874891,15.256896402433252,85.29774221425727,73.07534929132889,-76.92327391886896,91.74422357880545,57.4087184760961,57.75338359532508,39.06183280938177,25.494006376467155,Unattained target,GPSampler,PRUNED
48,48,5.245691124965447,2026-04-13 11:36:51.841159,2026-04-13 11:37:08.358130,0 days 00:00:16.516971,17.684368055926967,23.889228036206212,43.75773179475516,-71.76562578140913,47.26525264730216,39.14603984702996,86.5260187677557,40.440887926151284,15.686176761525468,42.296163695437734,64.48502760667863,31.4705805227735,-60.887872041408464,42.59834291543459,77.00228955506532,36.55391204940028,49.05630148889883,25.751868428141634,Unattained target,GPSampler,PRUNED
