,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
37,37,5.397398423741208,2026-04-10 11:23:57.449500,2026-04-10 11:24:03.520084,0 days 00:00:06.070584,76.13654109069137,50.34411539679545,13.930317074463563,-34.748875858739616,96.64058414314064,13.6570385587738,21.98604529023143,47.223180351356575,10.919761545356836,42.40666095059944,89.43970593458322,85.1358322270053,-37.90098273997307,45.73584939465004,85.6410912103316,29.68627082082173,42.272095207901344,27.351491100946756,Unattained target,RandomSampler,PRUNED
38,38,6.067041536578934,2026-04-10 11:24:03.678890,2026-04-10 11:24:08.771971,0 days 00:00:05.093081,28.44938595452567,50.063873175363106,81.64174293350086,-69.96367312762061,45.62697093655087,37.52508002182801,29.65567243711949,43.53999088756504,22.319319764577763,85.19887960255716,68.79391184814084,34.77593964455562,-72.04870224043933,50.9503258044574,67.22928657174646,27.710222209459726,44.11519002863181,27.02248967279559,Unattained target,RandomSampler,PRUNED
39,39,6.8488458219314055,2026-04-10 11:24:08.918851,2026-04-10 11:24:13.364083,0 days 00:00:04.445232,57.94832590622157,73.09691305575802,17.85085896574252,-54.968373091552266,75.38654048995427,57.74240688254004,19.408305575338396,49.7790406806683,25.127017933204534,99.07430925483051,86.71616985077456,85.14787304836744,-36.353698208647494,17.494834789190378,52.05175771287027,26.29387639475803,30.710929641876547,21.967978348080614,Unattained target,RandomSampler,PRUNED
40,40,5.84709932576115,2026-04-10 11:24:13.515608,2026-04-10 11:24:19.908998,0 days 00:00:06.393390,78.53910196388024,46.90401394069589,49.17178980455893,-31.599142180450258,87.30545806715014,16.77840490940925,30.983017885351863,46.69512070085337,28.597421981439783,92.90028921376926,68.76044419132805,12.761611013875298,-75.94908653832894,51.603190898760154,18.394586408997867,56.926676707135165,32.482747072375105,28.953917119399232,Unattained target,RandomSampler,PRUNED
41,41,7.370156322553704,2026-04-10 11:24:20.053182,2026-04-10 11:24:24.348165,0 days 00:00:04.294983,83.76279050270635,43.291245810223515,60.66176871344107,-31.303447209799067,22.320870386228485,95.78998107468979,92.1574949842423,32.243054260199386,11.880174490198236,38.42519682842877,15.10561162560871,73.16318959407548,-22.71321932176783,80.84384338469026,87.20761717251396,56.22520544676385,48.0217341016061,20.295488094703934,Unattained target,RandomSampler,PRUNED
42,42,7.8422920630018425,2026-04-10 11:24:24.521183,2026-04-10 11:24:29.190310,0 days 00:00:04.669127,89.56128270564791,81.8034788869436,13.312678282920675,-75.6729461987795,51.036362006487835,74.06997706183334,71.28604574561754,40.37048555301419,16.65838498957232,29.182334039501654,64.27570332971064,26.007626062570306,-49.66852342997923,19.407095730309965,98.71654198546075,29.720535974663054,38.068645857033616,24.697506218955375,Unattained target,RandomSampler,PRUNED
43,43,15.279366318866714,2026-04-10 11:24:29.352229,2026-04-10 11:24:33.575430,0 days 00:00:04.223201,87.01749533153092,96.68579422636346,55.45263468018784,-76.8220479669299,14.567169336674475,59.48400282247585,51.89823439750405,48.2374219102064,29.564279199396456,79.95027473336572,61.31259724695005,66.25297235893348,-52.677301331105035,95.68961276438046,58.09126010642202,88.6228435489825,32.24525538385077,17.582155009430647,Unattained target,RandomSampler,PRUNED
44,44,6.722409051968967,2026-04-10 11:24:33.715604,2026-04-10 11:24:37.929285,0 days 00:00:04.213681,98.16905121459276,72.85583947295672,40.65601837563479,-31.57558519476978,71.4354996367455,93.29862933208908,58.36632264121125,39.96538701026208,28.886322816894697,33.09795177987519,43.34441518903371,45.674601869798515,-55.06421215110048,84.11492103382166,51.91034940837425,36.906359409908006,39.82059285651958,16.80481119233859,Unattained target,RandomSampler,PRUNED
45,45,5.384953928189951,2026-04-10 11:24:38.071735,2026-04-10 11:24:42.236758,0 days 00:00:04.165023,56.4928360999195,21.930701363373377,83.4470773233483,-59.152816925766956,77.75212175614136,76.39673105647297,64.13778357009382,46.104447922904676,24.823055201431337,85.54188084245999,74.70537259392187,55.74635883263359,-25.739266381442604,25.864344227209706,55.01793974052636,13.672418577711417,44.902001705814385,29.26982592356949,Unattained target,RandomSampler,PRUNED
46,46,6.3118409092396845,2026-04-10 11:24:42.385252,2026-04-10 11:24:46.760832,0 days 00:00:04.375580,55.98783546172752,55.819350296652715,39.48387044447419,-33.397565128145004,21.244319298635432,80.65359426404292,53.51709763571206,43.157164740305205,22.811529841776483,30.456260767149324,79.24780824813043,50.02754250457313,-72.45214647526956,87.27692310535002,25.29532818365676,27.465488750011772,45.034467373967146,16.387062712577013,Unattained target,RandomSampler,PRUNED
