Study                  : no-name-b33cf3c0-5860-44cd-8f60-cf545cc2eb69
- Start                : 2026-05-12 22:08:41.725436
- End                  : 2026-05-13 04:48:47.042927
- Duration             : 6:40:05.317491
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 2000
-- Completed trials    : 1411, 70.55 %
-- Pruned trials       : 589, 29.45 %
--- Unfeasible shapes  : 589, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 1994, Value : 40.998428, Duration : 0:00:14.958465
                         Trial number : 1022, Value : 40.998563, Duration : 0:00:13.257466
                         Trial number : 1036, Value : 40.998649, Duration : 0:00:18.202692
                         Trial number : 1752, Value : 40.998867, Duration : 0:00:13.001600
                         Trial number : 1800, Value : 40.998990, Duration : 0:00:12.887608
                         Trial number : 1878, Value : 40.999186, Duration : 0:00:12.923165
                         Trial number : 1492, Value : 40.999612, Duration : 0:00:13.236938
                         Trial number : 1913, Value : 40.999942, Duration : 0:00:15.200579
                         Trial number : 1898, Value : 41.000016, Duration : 0:00:15.603193
                         Trial number : 1981, Value : 41.000044, Duration : 0:00:14.813105
                         Trial number : 1424, Value : 41.000415, Duration : 0:00:14.953775
                         Trial number : 1983, Value : 41.000442, Duration : 0:00:16.084393
                         Trial number : 1977, Value : 41.000676, Duration : 0:00:13.181988
                         Trial number : 1897, Value : 41.000688, Duration : 0:00:13.666571
                         Trial number : 1673, Value : 41.000911, Duration : 0:00:16.563352
                         Trial number : 1640, Value : 41.000922, Duration : 0:00:16.705906
                         Trial number : 1414, Value : 41.001336, Duration : 0:00:13.686522
                         Trial number : 1029, Value : 41.001382, Duration : 0:00:15.729591
                         Trial number : 1768, Value : 41.001447, Duration : 0:00:15.681791
                         Trial number : 765, Value : 41.001721, Duration : 0:00:15.318315
                         Trial number : 1448, Value : 41.001824, Duration : 0:00:17.276311
                         Trial number : 1563, Value : 41.002153, Duration : 0:00:12.975212
                         Trial number : 1732, Value : 41.002278, Duration : 0:00:14.877922
                         Trial number : 1830, Value : 41.002457, Duration : 0:00:12.793831
                         Trial number : 1965, Value : 41.002702, Duration : 0:00:16.987537
                         Trial number : 1792, Value : 41.002800, Duration : 0:00:14.786971
                         Trial number : 1795, Value : 41.003089, Duration : 0:00:13.046311
                         Trial number : 1469, Value : 41.003206, Duration : 0:00:15.329622
                         Trial number : 1221, Value : 41.003337, Duration : 0:00:13.912771
                         Trial number : 1725, Value : 41.003566, Duration : 0:00:13.121063
                         Trial number : 1712, Value : 41.003817, Duration : 0:00:15.558864
                         Trial number : 1971, Value : 41.003873, Duration : 0:00:13.146946
                         Trial number : 1219, Value : 41.003888, Duration : 0:00:17.421849
                         Trial number : 1845, Value : 41.003917, Duration : 0:00:12.971279
                         Trial number : 1476, Value : 41.004172, Duration : 0:00:17.406447
                         Trial number : 1364, Value : 41.004238, Duration : 0:00:14.755861
                         Trial number : 1459, Value : 41.004284, Duration : 0:00:16.862067
                         Trial number : 1063, Value : 41.004353, Duration : 0:00:17.783174
                         Trial number : 1722, Value : 41.004404, Duration : 0:00:14.909996
                         Trial number : 1991, Value : 41.004452, Duration : 0:00:13.159701
                         Trial number : 1160, Value : 41.004497, Duration : 0:00:17.409792
                         Trial number : 1963, Value : 41.004901, Duration : 0:00:15.147435
                         Trial number : 1222, Value : 41.004943, Duration : 0:00:14.807026
                         Trial number : 1180, Value : 41.005029, Duration : 0:00:17.879981
                         Trial number : 1455, Value : 41.005052, Duration : 0:00:12.586906
                         Trial number : 1559, Value : 41.005054, Duration : 0:00:15.116462
                         Trial number : 1715, Value : 41.005120, Duration : 0:00:15.474906
                         Trial number : 855, Value : 41.005482, Duration : 0:00:15.583700
                         Trial number : 1632, Value : 41.005725, Duration : 0:00:12.856696
                         Trial number : 1700, Value : 41.006027, Duration : 0:00:15.040615
                         Trial number : 1288, Value : 41.006284, Duration : 0:00:14.468024
                         Trial number : 1073, Value : 41.006455, Duration : 0:00:17.027077
                         Trial number : 1136, Value : 41.006593, Duration : 0:00:14.989686
                         Trial number : 1353, Value : 41.006633, Duration : 0:00:13.417604
                         Trial number : 1988, Value : 41.006646, Duration : 0:00:13.204987
                         Trial number : 1973, Value : 41.006664, Duration : 0:00:13.198778
                         Trial number : 1838, Value : 41.006678, Duration : 0:00:13.313369
                         Trial number : 1566, Value : 41.006728, Duration : 0:00:14.921183
                         Trial number : 1464, Value : 41.006954, Duration : 0:00:15.287728
                         Trial number : 1929, Value : 41.007086, Duration : 0:00:15.306402
                         Trial number : 1754, Value : 41.007333, Duration : 0:00:14.675618
                         Trial number : 1840, Value : 41.007368, Duration : 0:00:13.099379
                         Trial number : 1435, Value : 41.007471, Duration : 0:00:14.769580
                         Trial number : 1571, Value : 41.007652, Duration : 0:00:13.561914
                         Trial number : 1884, Value : 41.007816, Duration : 0:00:13.322316
                         Trial number : 1495, Value : 41.007868, Duration : 0:00:15.196092
                         Trial number : 1851, Value : 41.008133, Duration : 0:00:13.350152
                         Trial number : 1765, Value : 41.008293, Duration : 0:00:16.253570
                         Trial number : 1982, Value : 41.008377, Duration : 0:00:13.187839
                         Trial number : 1111, Value : 41.008744, Duration : 0:00:16.803236
                         Trial number : 1614, Value : 41.008816, Duration : 0:00:16.902073
                         Trial number : 1857, Value : 41.008860, Duration : 0:00:15.015178
                         Trial number : 1946, Value : 41.008988, Duration : 0:00:16.011884
                         Trial number : 1716, Value : 41.009162, Duration : 0:00:14.569737
                         Trial number : 1406, Value : 41.010159, Duration : 0:00:13.173827
                         Trial number : 1493, Value : 41.010228, Duration : 0:00:15.215065
                         Trial number : 1788, Value : 41.010340, Duration : 0:00:14.853081
                         Trial number : 1202, Value : 41.010453, Duration : 0:00:13.117168
