,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
20,20,6.278532616743767,2026-01-30 17:34:54.582642,2026-01-30 17:34:58.213340,0 days 00:00:03.630698,28.50051384876873,89.62190538461054,78.93516577318302,-29.09166826820595,34.63270638702281,36.4490640176452,59.75583674258381,30.131483056714853,17.016614339671758,95.0,91.2529077018749,48.888414166895835,14.444448781810042,-44.530796443033374,16.635028927837098,59.5533897807521,69.64463382098909,43.969162589564625,25.649326533665096,10.0,Unattained target,RandomSampler,PRUNED
21,21,5.328312789328493,2026-01-30 17:34:58.327399,2026-01-30 17:35:02.102180,0 days 00:00:03.774781,25.89325695078327,54.10274576639027,68.09452115158408,-78.09441619885258,96.74940910818114,63.5140731753357,83.02433557416938,45.81770766017689,19.910774222538826,75.0,53.49194693761093,22.607695996837528,29.54718870815923,-26.49363481859035,10.413940760301529,61.266268778007884,43.16558379199952,40.9933551264791,10.081978269930099,10.0,Unattained target,RandomSampler,PRUNED
22,22,6.0,2026-01-30 17:35:02.217782,2026-01-30 17:35:02.302105,0 days 00:00:00.084323,59.96775063990945,61.69200096355595,60.21636986547051,-62.63646612870333,18.772775097740123,61.47434529368804,58.0628925490187,40.54445760600682,25.905841838294492,70.0,22.345709338713057,52.9958049412988,67.18244320110796,-37.57228510045223,17.812434393043297,52.71670968231332,24.993067852702318,37.22277142764459,26.392626356576173,10.0,Unfeasible shape,RandomSampler,PRUNED
23,23,6.0,2026-01-30 17:35:02.416326,2026-01-30 17:35:02.483150,0 days 00:00:00.066824,90.93339557348432,34.17240963577707,80.2952814578135,-57.73231762924078,73.6942341746767,71.74684719856211,43.39199804182681,38.399583597237836,14.098280486294943,100.0,80.04123597717992,65.37868828536817,89.06716109221904,-24.44949778557781,76.4289001091543,94.05399262555055,86.02305041463973,37.563122357998964,13.19710916787425,10.0,Unfeasible shape,RandomSampler,PRUNED
24,24,5.4700546073380565,2026-01-30 17:35:02.601593,2026-01-30 17:35:06.304978,0 days 00:00:03.703385,17.15130561533963,90.35828665536707,21.262556934887467,-43.890286229972276,68.87911390346342,23.997105370987477,40.14750185718076,46.099884308337046,10.420945224674929,75.0,58.25184532102885,66.50915823205483,74.1282819491604,-42.604585530266746,80.01845004501668,23.379446371879965,31.60027753792943,41.12526927169191,16.298666177246837,10.0,Unattained target,RandomSampler,PRUNED
25,25,6.0,2026-01-30 17:35:06.425050,2026-01-30 17:35:06.495754,0 days 00:00:00.070704,84.51552126701228,63.331896387724136,33.60729816165356,-37.27612935841953,76.39987241600082,24.342798267936075,35.3521716537622,35.60978369007327,29.03690282965444,115.0,88.70191257514162,95.43695555699968,40.77453786268558,-57.5545712553573,90.7927820340097,90.48197768427973,89.03338122666639,31.34750438850763,13.156255073581347,10.0,Unfeasible shape,RandomSampler,PRUNED
26,26,17.929178066766433,2026-01-30 17:35:06.619448,2026-01-30 17:35:10.219119,0 days 00:00:03.599671,41.184251029680794,17.373229626350543,20.411852365769505,-53.48939136755954,56.26898657582986,66.88846132312196,25.509980739602845,42.58844356483089,20.075808807770656,115.0,71.73025805290686,49.98674183308685,35.702247064599675,-64.41273155475528,47.7488356191507,74.50080572745536,80.31595504339195,37.06678051679767,23.959048693466116,5.0,Unattained target,RandomSampler,PRUNED
27,27,9.44636447615224,2026-01-30 17:35:10.331429,2026-01-30 17:35:13.837926,0 days 00:00:03.506497,70.31847626355456,20.619256900022148,79.93769906199917,-26.136951286832122,86.24889795701043,38.9713138761395,31.228519662303718,44.48501325142289,19.147690719646544,115.0,33.62312018501761,31.006999689925635,22.18953666320442,-61.62531311704403,45.34652211258084,25.3480270748114,78.68640654166732,43.45335458783052,22.847948311171805,10.0,Unattained target,RandomSampler,PRUNED
28,28,6.0,2026-01-30 17:35:13.952146,2026-01-30 17:35:14.017695,0 days 00:00:00.065549,94.84300745211121,13.753231230490782,24.541396640744505,-62.64932199184234,87.08368538810507,83.66066736753058,78.84445306351688,33.76738345308099,20.71673764868409,100.0,82.09456652691061,30.967509646258694,69.14359557215988,-32.681415663190336,36.898338114908185,89.76704074708464,30.195448873499426,42.70227553976815,24.973133243138694,5.0,Unfeasible shape,RandomSampler,PRUNED
29,29,19.51795252019356,2026-01-30 17:35:14.136718,2026-01-30 17:35:17.763366,0 days 00:00:03.626648,74.76824856941842,38.12549415271338,55.540103146794465,-28.882691573453755,58.601523032404465,12.076916367807847,24.50593287571046,49.741282097878596,28.45428607583939,115.0,13.645609101678783,93.38279291295703,10.68396083261431,-48.03357662064647,59.71098595245278,89.98509007243294,56.48861192897305,30.272265591869544,13.58490578697479,10.0,Unattained target,RandomSampler,PRUNED
30,30,11.04065569351446,2026-01-30 17:35:17.879406,2026-01-30 17:35:21.437753,0 days 00:00:03.558347,10.436114058019907,15.47572867704509,39.517715600441704,-33.61192837365687,36.08421757311588,36.54173596263521,72.01658980314194,42.438018831341225,27.865427525102973,115.0,79.46141478657344,21.8265773206146,19.077496782454936,-40.446642706865546,24.256746491550444,21.988381299071854,29.819529674185535,33.99157005879551,13.285032525772692,10.0,Unattained target,RandomSampler,PRUNED
31,31,2.3406166884984714,2026-01-30 17:35:21.546931,2026-01-30 17:35:27.006307,0 days 00:00:05.459376,92.4943301470473,58.65380272532464,17.742432193256043,-69.18879041066526,50.65278206808541,39.1913125258329,20.495958203902063,35.650025167130856,28.29549686352201,70.0,10.791331005372877,15.080719358121787,90.47480983189195,-24.54868694492197,15.769917793747405,28.027518436024643,10.024646204347599,35.82016423117624,23.38008370582728,10.0,,RandomSampler,COMPLETE
